2614,Базы данных,https://stepik.org/course/2614,{'https://stepik.org/users/34379223': 'Санкт-Петербургский государственный университет'},15.1K
10829,Информатика,https://stepik.org/course/10829,"{'https://stepik.org/users/135091': 'Anastasia Lavrenko', 'https://stepik.org/users/45914490': 'Команда Stepik'}",5.2K
83,Дискретные структуры,https://stepik.org/course/83,{'https://stepik.org/users/35638': 'Alex Dainiak'},23.1K
716,Математический анализ (часть 1),https://stepik.org/course/716,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},14.1K
431,Адаптивный тренажер Python,https://stepik.org/course/431,{'https://stepik.org/users/779': 'Тимофей Бондарев'},30K
2461,Линейная алгебра,https://stepik.org/course/2461,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},11K
8057,Машинное обучение,https://stepik.org/course/8057,{'https://stepik.org/users/41703762': 'ОмГТУ'},7.9K
7215,Алгоритмизация. Программирование. Python 3 для школьников 5-10кл,https://stepik.org/course/7215,{'https://stepik.org/users/29417050': 'Михаил Сергеевич Солкин'},11K
2621,ОСНОВЫ Html & CSS,https://stepik.org/course/2621,{'https://stepik.org/users/32009108': 'Антон Глухов'},22K
76,Основы статистики,https://stepik.org/course/76,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},102K
4603,Математика для олимпиад по программированию,https://stepik.org/course/4603,{'https://stepik.org/users/3199288': 'Самарский университет'},13.7K
129,Анализ данных в R,https://stepik.org/course/129,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},26.5K
